Date,Opening Prices
2023-08-10,307.940002
2023-08-11,302.570007
2023-08-14,300.980011
2023-08-15,306.140015
2023-08-16,300.200012
2023-08-17,293.049988
2023-08-18,279.029999
2023-08-21,283.450012
2023-08-22,292.549988
2023-08-23,288.5
2023-08-24,298.5
2023-08-25,286.130005
2023-08-28,288
2023-08-29,288.579987
2023-08-30,297.170013
2023-08-31,295.799988
