Date,Opening Price
2023-08-10,245.399994
2023-08-11,241.770004
2023-08-14,235.699997
2023-08-15,238.729996
2023-08-16,228.020004
2023-08-17,226.059998
2023-08-18,214.119995
2023-08-21,221.550003
2023-08-22,240.25
2023-08-23,229.339996
2023-08-24,238.660004
2023-08-25,231.309998
2023-08-28,242.580002
2023-08-29,238.580002
2023-08-30,254.199997
2023-08-31,255.979996
