Date,Opening Prices
2023-02-25,168.64
2023-02-26,168.64
2023-02-27,171.88
2023-02-28,171.9
2023-03-01,174.59
2023-03-02,172.38
2023-03-03,178.92
2023-03-04,178.92
2023-03-05,178.92
2023-03-06,188.0
2023-03-07,189.0
2023-03-08,182.87
2023-03-09,186.35
2023-03-10,181.01
2023-03-11,181.01
2023-03-12,181.01
2023-03-13,177.96
2023-03-14,187.58
2023-03-15,192.95
2023-03-16,198.26
2023-03-17,200.56
2023-03-18,200.56
2023-03-19,200.56
2023-03-20,198.48
2023-03-21,203.2
2023-03-22,202.5
2023-03-23,202.84
2023-03-24,205.18
2023-03-25,205.18
2023-03-26,205.18
2023-03-27,204.81
2023-03-28,200.15
2023-03-29,203.56
2023-03-30,203.38
2023-03-31,207.24
2023-04-01,207.24
2023-04-02,207.24
2023-04-03,208.84
2023-04-04,213.39
2023-04-05,214.15
2023-04-06,209.25
2023-04-07,209.25
2023-04-08,209.25
2023-04-09,209.25
2023-04-10,214.71
2023-04-11,215.48
2023-04-12,214.84
2023-04-13,215.73
2023-04-14,217.88
2023-04-15,217.88
2023-04-16,217.88
2023-04-17,219.79
2023-04-18,219.91
2023-04-19,213.47
2023-04-20,213.48
2023-04-21,210.21
2023-04-22,210.21
2023-04-23,210.21
2023-04-24,213.68
2023-04-25,210.82
2023-04-26,212.5
2023-04-27,239.89
2023-04-28,239.01
2023-04-29,239.01
2023-04-30,239.01
2023-05-01,238.62
2023-05-02,243.18
2023-05-03,239.47
2023-05-04,236.06
2023-05-05,232.24
2023-05-06,232.24
2023-05-07,232.24
2023-05-08,231.42
2023-05-09,231.46
2023-05-10,236.17
2023-05-11,233.05
2023-05-12,236.74
2023-05-13,236.74
2023-05-14,236.74
2023-05-15,236.92
2023-05-16,235.79
2023-05-17,238.45
2023-05-18,241.3
2023-05-19,247.47
2023-05-20,247.47
2023-05-21,247.47
2023-05-22,245.41
2023-05-23,246.81
2023-05-24,245.28
2023-05-25,253.4
2023-05-26,252.93
2023-05-27,252.93
2023-05-28,252.93
2023-05-29,252.93
2023-05-30,265.25
2023-05-31,260.0
2023-06-01,265.9
2023-06-02,272.66
2023-06-03,272.66
2023-06-04,272.66
2023-06-05,270.3
2023-06-06,270.14
2023-06-07,271.67
2023-06-08,260.62
2023-06-09,262.48
2023-06-10,262.48
2023-06-11,262.48
2023-06-12,267.17
2023-06-13,274.88
2023-06-14,271.89
2023-06-15,272.3
2023-06-16,284.75
2023-06-17,284.75
2023-06-18,284.75
2023-06-19,284.75
2023-06-20,278.73
2023-06-21,283.53
2023-06-22,279.08
2023-06-23,281.51
2023-06-24,281.51
2023-06-25,281.51
2023-06-26,288.7
2023-06-27,282.01
2023-06-28,284.82
2023-06-29,284.5
2023-06-30,284.76
2023-07-01,284.76
2023-07-02,284.76
2023-07-03,286.7
2023-07-04,286.7
2023-07-05,287.65
2023-07-06,295.89
2023-07-07,292.18
