Date ,Forecast
2023-09-01,297.1583243609932
2023-09-02,300.15157271952114
2023-09-03,300.5334545486797
2023-09-04,299.43281210631403
2023-09-05,299.64526236150317
2023-09-06,300.69120983430366
2023-09-07,306.5975430949591
2023-09-08,304.25479921554546
2023-09-09,308.3602796941263
2023-09-10,310.55111887046525
2023-09-11,311.86994852835363
2023-09-12,310.3560168290177
2023-09-13,308.5106893119495
2023-09-14,309.09591398338733
2023-09-15,310.94528035041395
2023-09-16,306.02156366229076
2023-09-17,307.3785279479495
2023-09-18,306.2612432489946
2023-09-19,308.97636592088054
2023-09-20,311.0692171198282
2023-09-21,314.428352375493
2023-09-22,316.36353133137357
2023-09-23,316.9065575665782
2023-09-24,320.15426292291556
2023-09-25,321.1671228397479
2023-09-26,319.2385430577188
2023-09-27,321.11543768945756
2023-09-28,318.1637306266704
2023-09-29,319.2074571507095
2023-09-30,320.6855675004853
2023-10-01,324.4627746621702
2023-10-02,326.01834463542264
2023-10-03,325.6552855968268
2023-10-04,329.37314427734674
2023-10-05,326.1766927852569
2023-10-06,326.6816748410838
2023-10-07,328.2384051480318
2023-10-08,328.0791351066051
2023-10-09,329.54773173489497
2023-10-10,329.85957191973716
2023-10-11,330.51995594776804
2023-10-12,330.88797450301035
2023-10-13,331.1786740211192
2023-10-14,333.1777443407695
2023-10-15,332.0914814237719
2023-10-16,331.33518149092333
2023-10-17,333.3913554732839
2023-10-18,334.9920209136212
2023-10-19,334.02910802765683
2023-10-20,338.1081784741773
2023-10-21,345.04332520466164
2023-10-22,344.5003641353857
2023-10-23,343.10404412932263
2023-10-24,342.7786382488979
2023-10-25,340.9111853953602
2023-10-26,342.74251813813896
2023-10-27,345.66790479040236
2023-10-28,346.1548893497172
2023-10-29,341.9395493498092
2023-10-30,343.1626247738231
2023-10-31,344.820017858814
2023-11-01,340.6554777787218
2023-11-02,340.9422888834672
2023-11-03,344.30744242975874
2023-11-04,355.0291004419032
2023-11-05,349.4574529856659
2023-11-06,348.7075841082429
2023-11-07,348.24488894346797
2023-11-08,351.76412349434815
2023-11-09,349.316118162418
2023-11-10,350.77082690662735
2023-11-11,346.13989727701477
2023-11-12,348.98938511012267
2023-11-13,359.08604731022194
2023-11-14,358.69751973609124
2023-11-15,357.28246584641545
2023-11-16,358.4631225737356
2023-11-17,357.64441549431206
2023-11-18,357.08192013230945
2023-11-19,354.0083310019961
2023-11-20,353.24536093442913
2023-11-21,351.7788608258709
2023-11-22,351.6852909531943
2023-11-23,354.7316583785063
2023-11-24,351.7857543605965
2023-11-25,348.6095630790611
2023-11-26,344.27586871455094
2023-11-27,342.8696599352146
2023-11-28,344.21381041072124
2023-11-29,353.0332597059961
2023-11-30,357.11144822153204
2023-12-01,355.3690010943563
2023-12-02,359.42449231210117
2023-12-03,355.4550288536048
2023-12-04,356.29721649429393
2023-12-05,359.3749701810415
2023-12-06,359.4598375502078
2023-12-07,357.8243278796518
2023-12-08,360.91576076937076
2023-12-09,360.80851290787683
2023-12-10,361.22594942178165
2023-12-11,365.28009280768
2023-12-12,365.13793656570647
2023-12-13,363.9359323682971
2023-12-14,363.5406897574241
2023-12-15,364.0074301460136
2023-12-16,371.0791054041904
2023-12-17,368.14332382478466
2023-12-18,372.8919568464129
2023-12-19,375.67608878603636
2023-12-20,376.44473468108316
2023-12-21,375.11835068738145
2023-12-22,373.4451343402243
2023-12-23,373.64867214556034
2023-12-24,375.65240191225803
2023-12-25,369.48036808528985
2023-12-26,371.27666097318524
2023-12-27,370.35002359190406
2023-12-28,372.82837020192454
2023-12-29,375.45100174619586
2023-12-30,379.72610466401574
2023-12-31,381.2717876937668
2024-01-01,381.8554283585974
2024-01-02,386.6001905709415
2024-01-03,387.7262211081766
2024-01-04,385.8312917539093
2024-01-05,386.66883145120767
2024-01-06,383.184054808237
2024-01-07,384.7873691512097
2024-01-08,385.7079851594708
2024-01-09,389.3086190373273
2024-01-10,391.0312868205919
2024-01-11,391.314772615833
2024-01-12,395.5627152443138
2024-01-13,391.7274783056438
2024-01-14,392.56173063118695
2024-01-15,394.05541464196943
2024-01-16,393.942374648703
2024-01-17,394.66357265064767
2024-01-18,395.2559711620765
2024-01-19,396.2491929456175
2024-01-20,396.4134164156757
2024-01-21,396.8135361441711
2024-01-22,399.76995055081244
2024-01-23,398.60986004259405
2024-01-24,398.23750616708486
2024-01-25,399.90270568038295
2024-01-26,401.830414558757
2024-01-27,400.80661326389907
2024-01-28,405.763297886152
2024-01-29,414.0133442084959
2024-01-30,413.259335907965
2024-01-31,411.68714587140965
2024-02-01,411.54193775051607
2024-02-02,409.17831767321854
2024-02-03,411.19815674753
2024-02-04,414.33528996837094
2024-02-05,414.8709772989001
2024-02-06,409.6505557652811
2024-02-07,410.36872482596783
2024-02-08,411.5247568763972
2024-02-09,406.5013779611151
2024-02-10,406.41692290227337
2024-02-11,410.4489487476433
2024-02-12,423.87304519723426
2024-02-13,417.1724118005516
2024-02-14,416.8397295549926
2024-02-15,415.9998785824397
2024-02-16,420.02236153342807
2024-02-17,416.7155462219362
2024-02-18,418.20244086670647
2024-02-19,412.67622668609204
2024-02-20,416.08432681110605
2024-02-21,425.895108363378
2024-02-22,425.5512823124356
2024-02-23,424.2969134768841
2024-02-24,425.24504694972234
2024-02-25,424.2568639426002
2024-02-26,423.1103609469615
2024-02-27,419.0866362830165
2024-02-28,418.08567440315994
2024-02-29,416.69135690772003
