Date,Opening Price
2023-05-12,176.07
2023-05-13,176.07
2023-05-14,176.07
2023-05-15,167.66
2023-05-16,165.65
2023-05-17,168.41
2023-05-18,174.22
2023-05-19,177.17
2023-05-20,177.17
2023-05-21,177.17
2023-05-22,180.7
2023-05-23,186.2
2023-05-24,182.23
2023-05-25,186.54
2023-05-26,184.62
2023-05-27,184.62
2023-05-28,184.62
2023-05-29,184.62
2023-05-30,200.1
2023-05-31,199.78
2023-06-01,202.59
2023-06-02,210.15
2023-06-03,210.15
2023-06-04,210.15
2023-06-05,217.8
2023-06-06,216.14
2023-06-07,228.0
2023-06-08,224.22
2023-06-09,249.07
2023-06-10,249.07
2023-06-11,249.07
2023-06-12,247.94
2023-06-13,253.51
2023-06-14,260.17
2023-06-15,248.4
2023-06-16,258.92
2023-06-17,258.92
2023-06-18,258.92
2023-06-19,258.92
2023-06-20,261.5
2023-06-21,275.13
2023-06-22,250.77
2023-06-23,259.29
2023-06-24,259.29
2023-06-25,259.29
2023-06-26,250.07
2023-06-27,243.24
2023-06-28,249.7
2023-06-29,258.03
2023-06-30,260.6
2023-07-01,260.6
2023-07-02,260.6
2023-07-03,276.49
2023-07-04,276.49
2023-07-05,278.82
2023-07-06,278.09
2023-07-07,278.43
2023-07-08,278.43
2023-07-09,278.43
2023-07-10,276.47
2023-07-11,268.65
2023-07-12,276.33
2023-07-13,274.59
2023-07-14,277.01
2023-07-15,277.01
2023-07-16,277.01
2023-07-17,286.63
2023-07-18,290.15
2023-07-19,296.04
2023-07-20,279.56
2023-07-21,268.0
2023-07-22,268.0
2023-07-23,268.0
2023-07-24,255.85
2023-07-25,272.38
2023-07-26,263.25
2023-07-27,268.31
2023-07-28,259.86
2023-07-29,259.86
2023-07-30,259.86
2023-07-31,267.48
2023-08-01,266.26
2023-08-02,255.57
2023-08-03,252.04
2023-08-04,260.97
2023-08-05,260.97
2023-08-06,260.97
2023-08-07,251.45
2023-08-08,247.45
2023-08-09,250.87
2023-08-10,245.4
2023-08-11,241.77
2023-08-12,241.77
2023-08-13,241.77
2023-08-14,235.7
2023-08-15,238.73
2023-08-16,228.02
2023-08-17,226.06
2023-08-18,214.12
2023-08-19,214.12
2023-08-20,214.12
2023-08-21,221.55
2023-08-22,240.25
2023-08-23,229.34
2023-08-24,238.66
2023-08-25,231.31
2023-08-26,231.31
2023-08-27,231.31
2023-08-28,242.58
2023-08-29,238.58
2023-08-30,254.2
2023-08-31,255.98
