Date,Opening Price
2023-08-11,417.51001
2023-08-14,404.859985
2023-08-15,445.600006
2023-08-16,445.200012
2023-08-17,439.700012
2023-08-18,426.350006
2023-08-21,444.940002
2023-08-22,481.350006
2023-08-23,458.660004
2023-08-24,502.160004
2023-08-25,470.119995
2023-08-28,464.820007
2023-08-29,466.660004
2023-08-30,490.440002
2023-08-31,493.799988
