Date,Opening Price
2023-06-18,434.5
2023-06-19,434.5
2023-06-20,429.98
2023-06-21,435.01
2023-06-22,422.53
2023-06-23,424.64
2023-06-24,424.64
2023-06-25,424.64
2023-06-26,424.61
2023-06-27,407.99
2023-06-28,406.6
2023-06-29,415.58
2023-06-30,416.8
2023-07-01,416.8
2023-07-02,416.8
2023-07-03,425.17
2023-07-04,425.17
2023-07-05,421.35
2023-07-06,418.44
2023-07-07,423.22
2023-07-08,423.22
2023-07-09,423.22
2023-07-10,426.57
2023-07-11,424.81
2023-07-12,430.33
2023-07-13,445.18
2023-07-14,465.83
2023-07-15,465.83
2023-07-16,465.83
2023-07-17,462.89
2023-07-18,467.01
2023-07-19,474.64
2023-07-20,465.07
2023-07-21,457.88
2023-07-22,457.88
2023-07-23,457.88
2023-07-24,447.31
2023-07-25,449.41
2023-07-26,460.21
2023-07-27,465.19
2023-07-28,466.68
2023-07-29,466.68
2023-07-30,466.68
2023-07-31,467.54
2023-08-01,464.6
2023-08-02,458.31
2023-08-03,438.0
2023-08-04,449.85
2023-08-05,449.85
2023-08-06,449.85
2023-08-07,451.11
2023-08-08,448.53
2023-08-09,442.74
2023-08-10,421.6
2023-08-11,417.51
2023-08-12,417.51
2023-08-13,417.51
2023-08-14,404.86
2023-08-15,445.6
2023-08-16,445.2
2023-08-17,439.7
2023-08-18,426.35
2023-08-19,426.35
2023-08-20,426.35
2023-08-21,444.94
2023-08-22,481.35
2023-08-23,458.66
2023-08-24,502.16
2023-08-25,470.12
2023-08-26,470.12
2023-08-27,470.12
2023-08-28,464.82
2023-08-29,466.66
2023-08-30,490.44
2023-08-31,493.8
