Date ,Forecast
2023-09-01,187.05025735582228
2023-09-02,188.31713027270854
2023-09-03,189.25546471704445
2023-09-04,189.39713693865917
2023-09-05,188.98628749595755
2023-09-06,188.98628749594795
2023-09-07,191.33707027917572
2023-09-08,191.57602347416915
2023-09-09,191.05348847793428
2023-09-10,192.73300709603194
2023-09-11,193.1651073719689
2023-09-12,192.1096493208723
2023-09-13,193.14296043440012
2023-09-14,191.42508070819002
2023-09-15,190.6494852883315
2023-09-16,190.06698362182948
2023-09-17,192.3140139053283
2023-09-18,191.44627154789836
2023-09-19,192.74257237574875
2023-09-20,192.59403390317556
2023-09-21,193.5821376554804
2023-09-22,195.98679292549778
2023-09-23,196.3359501487249
2023-09-24,197.8096493208811
2023-09-25,198.07528473641509
2023-09-26,196.88877988033292
2023-09-27,196.88877988033005
2023-09-28,195.39047876573727
2023-09-29,194.85689696452206
2023-09-30,195.33675292980388
2023-10-01,196.47380987709548
2023-10-02,196.81736501453483
2023-10-03,198.20575278644264
2023-10-04,199.03240167725306
2023-10-05,198.42533139805758
2023-10-06,199.38508070818494
2023-10-07,200.92467931764602
2023-10-08,203.27279640183744
2023-10-09,203.1063315414229
2023-10-10,203.1169569580376
2023-10-11,204.50546876681582
2023-10-12,204.5054687668302
2023-10-13,203.46072278967895
2023-10-14,201.6457194566992
2023-10-15,203.15550876251322
2023-10-16,203.92053875928576
2023-10-17,204.2428430634849
2023-10-18,202.85433125470135
2023-10-19,202.78974931011305
2023-10-20,203.77372583593143
2023-10-21,205.12853847255647
2023-10-22,204.29539139160016
2023-10-23,203.47723431172443
2023-10-24,203.4772343117191
2023-10-25,204.55575278644238
2023-10-26,205.49219098305863
2023-10-27,204.97301376197004
2023-10-28,206.587582374672
2023-10-29,205.5479970971058
2023-10-30,205.6932111242696
2023-10-31,206.7415855642867
2023-11-01,206.29597014658444
2023-11-02,206.2443045909102
2023-11-03,206.64097347955433
2023-11-04,208.51637153712852
2023-11-05,207.53826111888282
2023-11-06,207.64097347955877
2023-11-07,207.27262570333616
2023-11-08,208.17031473319187
2023-11-09,208.28656223346758
2023-11-10,207.4938698706441
2023-11-11,205.3201706985063
2023-11-12,200.65855847041317
2023-11-13,201.41296305056198
2023-11-14,202.58175887895786
2023-11-15,200.39243095722188
2023-11-16,198.81663150911635
2023-11-17,199.85850109304133
2023-11-18,199.2476983119756
2023-11-19,197.6437617818334
2023-11-20,196.01098942763826
2023-11-21,198.16794900184942
2023-11-22,198.58773164170714
2023-11-23,199.17542733752444
2023-11-24,198.57651413821108
2023-11-25,198.78485524850095
2023-11-26,195.64846371351004
2023-11-27,195.94243357338144
2023-11-28,195.86097204594347
2023-11-29,197.6498919111938
2023-11-30,198.93507260861662
2023-12-01,199.71504594481817
2023-12-02,200.68916650536426
2023-12-03,198.46524997306946
2023-12-04,198.92214288781682
2023-12-05,200.12281496605985
2023-12-06,201.87298566456306
2023-12-07,201.62111608062818
2023-12-08,204.15163484208176
2023-12-09,205.72345776436873
2023-12-10,204.49089827718856
2023-12-11,205.77658777380762
2023-12-12,206.7048867089497
2023-12-13,206.79638138461803
2023-12-14,206.5310468251676
2023-12-15,206.5310468251614
2023-12-16,209.33844527652897
2023-12-17,209.62381270152736
2023-12-18,209.4173962447767
2023-12-19,211.68148327318184
2023-12-20,211.96054203397804
2023-12-21,211.27890670020565
2023-12-22,212.51292799752375
2023-12-23,210.46136759075182
2023-12-24,209.41857673871354
2023-12-25,208.8511283360017
2023-12-26,211.57735418331697
2023-12-27,211.01694929482267
2023-12-28,211.85412557723689
2023-12-29,211.67673501574507
2023-12-30,212.85676788130152
2023-12-31,214.6116239312755
2024-01-01,215.0460829826213
2024-01-02,216.97890670021135
2024-01-03,217.15045921709364
2024-01-04,216.38419130833324
2024-01-05,216.38419130833142
2024-01-06,214.59486042723478
2024-01-07,214.42381139549946
2024-01-08,214.32286226641958
2024-01-09,215.6982625569701
2024-01-10,215.9201371454811
2024-01-11,216.8167849670848
2024-01-12,217.8040020049316
2024-01-13,217.0790144927586
2024-01-14,218.42136759074847
2024-01-15,219.8229779488497
2024-01-16,222.24259803601743
2024-01-17,222.13509179209598
2024-01-18,222.14195389276694
2024-01-19,223.80017001102206
2024-01-20,223.80017001103135
2024-01-21,222.34271371844716
2024-01-22,220.5578169130391
2024-01-23,222.08893167588022
2024-01-24,222.58300292452356
2024-01-25,222.79115331168558
2024-01-26,221.132937193427
2024-01-27,221.0558108623493
2024-01-28,221.87545592518256
2024-01-29,223.0408483258496
2024-01-30,222.40715699004352
2024-01-31,221.8787752380261
2024-02-01,221.87877523802263
2024-02-02,223.16678496708457
2024-02-03,224.2851167677672
2024-02-04,223.86127688398403
2024-02-05,225.60881599345066
2024-02-06,224.58679285696604
2024-02-07,224.6805748995317
2024-02-08,225.3576354995215
2024-02-09,224.82546381505736
2024-02-10,224.76376275019285
2024-02-11,225.14036062045903
2024-02-12,227.18385345695944
2024-02-13,226.07402698059897
2024-02-14,226.14036062046188
2024-02-15,225.90247446370847
2024-02-16,226.9745304657396
2024-02-17,227.11335786169033
2024-02-18,226.17640505425888
2024-02-19,223.54358133668072
2024-02-20,218.39022915828383
2024-02-21,218.8774383062503
2024-02-22,219.6322693805622
2024-02-23,217.01768675690258
2024-02-24,215.1358042785083
2024-02-25,216.22659696973125
2024-02-26,215.3398176859415
2024-02-27,213.53893428795269
2024-02-28,212.48445815081985
2024-02-29,213.87746458795237
